day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
2019-10-28,9581,894,141,977,54,1024,173,100,40068,3670,250,61.64999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19
2019-10-29,5523,478,45,404,26,321,176,49,22010,1925,239,58.75,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
2019-10-30,2839,259,11,176,4,139,81,21,10929,1046,230,56.76,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
2019-10-31,1430,121,8,92,3,63,41,13,5492,444,230,56.63,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2019-11-01,1121,91,7,54,2,55,32,7,4121,290,220,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-11-02,777,60,0,37,6,32,29,6,2921,236,225,55.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-03,697,42,2,41,0,17,25,6,2554,162,219,54.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2019-11-04,911,39,2,17,2,14,16,4,2212,127,145,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2019-11-05,419,46,2,20,0,20,15,3,1605,152,229,56.47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2019-11-06,274,23,1,17,0,14,20,1,1112,88,243,59.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-11-07,287,17,0,10,0,16,13,1,1161,75,242,59.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-11-08,214,23,0,7,0,4,15,2,776,67,217,53.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-09,238,22,1,9,0,7,8,0,908,98,229,56.269999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-10,240,18,1,11,2,8,7,3,915,82,228,56.21000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-11-11,223,16,0,9,0,3,14,0,812,65,218,53.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-12,157,15,0,7,0,4,14,2,567,55,216,53.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2019-11-13,149,12,0,2,0,7,9,2,570,53,229,56.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-14,15,2,0,0,0,0,4,0,72,13,288,70.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-15,8,2,0,1,0,0,5,0,30,5,230,56.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-16,8,1,0,1,0,0,7,0,32,0,244,60.04999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-17,13,4,0,0,0,1,11,0,52,13,242,59.699999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-18,7,0,0,0,0,0,9,0,29,0,255,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-19,10,0,0,1,0,0,5,1,26,0,156,38.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-20,6,3,0,0,0,0,4,0,17,13,179,44.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-21,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-22,3,1,0,0,0,0,5,0,3,0,77,19.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-23,9,0,0,1,0,3,1,1,20,0,135,33.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-24,4,0,0,0,0,0,3,0,10,0,152,37.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,3,1,0,0,0,0,3,0,10,6,216,53.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-26,3,0,0,0,0,0,3,0,20,0,403,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-27,5,1,0,0,0,0,3,0,9,6,111,27.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-28,7,0,0,1,0,0,5,0,13,0,116,28.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-29,4,0,0,0,0,0,2,0,22,0,339,83.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30,2,1,0,1,0,0,1,1,11,6,354,87.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,4,0,0,-1,0,0,2,0,2,0,41,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-02,1,0,0,0,0,0,3,0,5,0,359,88.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-03,2,1,0,0,0,0,7,0,6,6,193,47.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-04,3,0,0,0,0,0,3,0,2,0,46,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-06,2,1,0,0,0,0,3,0,8,1,245,60.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-07,0,0,0,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-08,2,0,0,0,0,0,1,0,7,0,238,58.59000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-09,3,1,0,0,0,0,0,0,7,0,156,38.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-10,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-11,3,0,0,0,0,0,1,0,7,0,142,35.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-12,1,0,0,-1,0,1,2,0,0,0,17,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-13,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-14,3,2,0,0,0,0,2,0,13,7,260,64.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-15,3,1,0,1,0,0,3,0,9,0,189,46.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-16,2,0,0,0,0,0,2,0,0,0,25,6.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-17,1,0,0,-1,0,0,0,0,0,0,3,0.9000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-18,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-19,5,0,0,0,0,0,0,0,9,0,113,27.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-20,4,0,0,0,0,0,0,0,15,0,234,57.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-21,2,0,0,0,0,0,3,0,4,0,137,33.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-22,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-23,2,0,0,0,0,0,1,0,7,0,227,55.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-24,3,0,0,0,0,0,1,0,13,0,275,67.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-25,3,0,0,0,0,0,0,0,7,0,151,37.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-26,1,0,0,0,0,0,1,0,7,0,435,106.95000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-27,1,0,0,0,0,0,1,0,3,0,202,49.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-28,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-29,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-30,3,1,0,0,0,0,1,1,0,0,8,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31,1,0,0,0,0,0,1,0,6,0,407,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,2,0,0,0,0,0,0,0,0,0,16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,1,0,0,0,0,0,2,0,1,0,84,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,1,0,0,0,0,0,3,0,6,0,376,92.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,3,0,0,0,0,0,1,0,7,0,142,35.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,1,0,0,1,0,0,1,0,6,0,406,99.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,3,0,0,0,0,0,1,0,9,0,191,46.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,1,0,0,0,0,0,1,0,0,0,9,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,1,0,0,0,0,0,1,0,0,0,16,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,2,1,0,0,0,0,2,0,6,0,206,50.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,4,1,0,0,0,0,2,0,3,1,59,14.719999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,1,1,0,0,0,0,1,0,3,3,228,56.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,2,0,0,1,0,0,1,0,3,0,112,27.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
